community_id,state,county,product,doses_needed
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,Prevnar,5
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,RotaTeq,0
CHUUK__POLLE,Chuuk,Polle,PedVaxHib,12
CHUUK__POLLE,Chuuk,Polle,Vaxelis,49
CHUUK__POLLE,Chuuk,Polle,Pediarix,11
CHUUK__POLLE,Chuuk,Polle,DTaP_Single,71
CHUUK__POLLE,Chuuk,Polle,IPV_Single,39
CHUUK__POLLE,Chuuk,Polle,MMR_Single,53
CHUUK__POLLE,Chuuk,Polle,Prevnar,63
CHUUK__POLLE,Chuuk,Polle,RotaTeq,7
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,PedVaxHib,3
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,Vaxelis,6
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,Pediarix,0
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,DTaP_Single,8
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,IPV_Single,5
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,MMR_Single,5
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,Prevnar,9
CHUUK__PULAP ATOLL,Chuuk,Pulap Atoll,RotaTeq,0
CHUUK__PULUWAT,Chuuk,Puluwat,PedVaxHib,0
CHUUK__PULUWAT,Chuuk,Puluwat,Vaxelis,2
CHUUK__PULUWAT,Chuuk,Puluwat,Pediarix,0
CHUUK__PULUWAT,Chuuk,Puluwat,DTaP_Single,9
CHUUK__PULUWAT,Chuuk,Puluwat,IPV_Single,5
CHUUK__PULUWAT,Chuuk,Puluwat,MMR_Single,1
CHUUK__PULUWAT,Chuuk,Puluwat,Prevnar,2
CHUUK__PULUWAT,Chuuk,Puluwat,RotaTeq,1
CHUUK__ROMONUM,Chuuk,Romonum,PedVaxHib,4
CHUUK__ROMONUM,Chuuk,Romonum,Vaxelis,7
CHUUK__ROMONUM,Chuuk,Romonum,Pediarix,1
CHUUK__ROMONUM,Chuuk,Romonum,DTaP_Single,19
CHUUK__ROMONUM,Chuuk,Romonum,IPV_Single,10
CHUUK__ROMONUM,Chuuk,Romonum,MMR_Single,13
CHUUK__ROMONUM,Chuuk,Romonum,Prevnar,11
CHUUK__ROMONUM,Chuuk,Romonum,RotaTeq,0
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,PedVaxHib,1
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,Vaxelis,10
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,Pediarix,3
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,DTaP_Single,9
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,IPV_Single,6
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,MMR_Single,12
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,Prevnar,10
CHUUK__SATAWAN ATOLL,Chuuk,Satawan Atoll,RotaTeq,1
CHUUK__SIIS,Chuuk,Siis,PedVaxHib,1
CHUUK__SIIS,Chuuk,Siis,Vaxelis,4
CHUUK__SIIS,Chuuk,Siis,Pediarix,2
CHUUK__SIIS,Chuuk,Siis,DTaP_Single,6
CHUUK__SIIS,Chuuk,Siis,IPV_Single,4
CHUUK__SIIS,Chuuk,Siis,MMR_Single,6
CHUUK__SIIS,Chuuk,Siis,Prevnar,6
CHUUK__SIIS,Chuuk,Siis,RotaTeq,1
CHUUK__TOLENSOM,Chuuk,Tolensom,PedVaxHib,24
CHUUK__TOLENSOM,Chuuk,Tolensom,Vaxelis,116
CHUUK__TOLENSOM,Chuuk,Tolensom,Pediarix,62
CHUUK__TOLENSOM,Chuuk,Tolensom,DTaP_Single,163
CHUUK__TOLENSOM,Chuuk,Tolensom,IPV_Single,98
CHUUK__TOLENSOM,Chuuk,Tolensom,MMR_Single,173
CHUUK__TOLENSOM,Chuuk,Tolensom,Prevnar,149
CHUUK__TOLENSOM,Chuuk,Tolensom,RotaTeq,10
CHUUK__TONOAS,Chuuk,Tonoas,PedVaxHib,17
CHUUK__TONOAS,Chuuk,Tonoas,Vaxelis,62
CHUUK__TONOAS,Chuuk,Tonoas,Pediarix,15
CHUUK__TONOAS,Chuuk,Tonoas,DTaP_Single,89
