community_id,state,state_join,county,county_join,child_population,source_patient_communities,source_patient_community_n,children_not_utd,proportion_not_utd,utd_coverage,utd_no_mmr_coverage,mmr_eligible_n,mmr_not_utd_n,mmr_coverage,median_months_since_vax,mean_individual_risk,median_individual_risk,p75_individual_risk,high_risk_n,high_risk_percent,latitude_patient,longitude_patient,census_region,census_total,census_under5,latitude_census,longitude_census,area_m2,area_km2,population_density_km2,under5_density_km2,census_source_communities,census_source_n,region,latitude,longitude,remoteness,access_component,median_risk_component,p75_risk_component,high_risk_percent_component,community_patient_risk_component,log_population_density,density_percentile_component,low_density_component,high_density_component,population_density_missing,low_density_component_for_score,high_density_component_for_score,transmission_component,burden_component,priority_score,priority_rank,priority_group,data_quality_flag,routing_ready
POHNPEI__SOKEHS,Pohnpei,POHNPEI,Sokehs,SOKEHS,745,Sokehs,1,337,45.234899328859065,54.76510067114094,54.899328859060404,660,103,84.3939393939394,12.91170431211499,27.914956658352057,23.4542550764317,33.7348847821127,51,6.845637583892618,6.933533093446021,158.12956552788185,Main,6647,730,6.9694400000000005,158.18800000000002,347455069,347.455069,19.1305310903379,2.1009910780723136,Sokehs,1,Main,6.933533093446021,158.12956552788185,0,0,23.4542550764317,33.7348847821127,6.845637583892618,22.188657519060083,3.002237622330892,22.22222222222222,77.77777777777777,22.22222222222222,FALSE,77.77777777777777,22.22222222222222,4.930812782013351,84.55785261041834,24.3,11,High,Ready,TRUE
CHUUK__LUKUNOR ATOLL,Chuuk,CHUUK,Lukunor Atoll,LUKUNOR ATOLL,52,Lukunor Atoll,1,30,57.692307692307686,42.30769230769231,42.30769230769231,49,7,85.71428571428571,16.361396303901437,26.559785184015166,25.6810403832991,30.489390828199877,4,7.6923076923076925,5.503933649737773,153.78185605171643,Outer,1248,127,,,543661,0.543661,2295.5481448917617,233.60145384715847,Lekinioch; Oneop,2,Outer,5.503933649737773,153.78185605171643,1,100,25.6810403832991,30.489390828199877,7.6923076923076925,23.044963934080975,7.739162468010178,96.29629629629629,3.7037037037037095,96.29629629629629,FALSE,3.7037037037037095,96.29629629629629,22.191446751337235,34.442475199702734,24,12,High,Ready,TRUE
YAP__FARAULAP,Yap,YAP,Faraulap,FARAULAP,1,Faraulap,1,0,0,100,100,1,0,100,,31.9780971937029,31.9780971937029,31.9780971937029,0,0,8.59036220406639,144.522449164043,,,,,,,,,,,,,8.59036220406639,144.522449164043,0,0,31.9780971937029,31.9780971937029,0,25.582477754962323,,,,,TRUE,50,50,12.791238877481161,0,24,12,High,Missing Census match,TRUE
YAP__WEELOEY,Yap,YAP,Weeloey,WEELOEY,76,Weeloey,1,10,13.157894736842104,86.8421052631579,86.8421052631579,69,2,97.10144927536231,11.679671457905545,29.957221081451063,30.289755874971497,36.43280857859912,0,0,9.505001421052633,138.22999535526316,Main,1031,99,9.528649616000001,138.1243523,54044650.555348404,54.044650555348404,19.076818693538012,1.831818671833427,Weeloey,1,Main,9.505001421052633,138.22999535526316,0,0,30.289755874971497,36.43280857859912,0,25.460415240702723,2.9995658506752045,18.51851851851852,81.48148148148148,18.51851851851852,FALSE,81.48148148148148,18.51851851851852,4.714891711241245,0,23.9,14,High,Ready,TRUE
CHUUK__TOLENSOM,Chuuk,CHUUK,Tolensom,TOLENSOM,741,Tolensom,1,431,58.1646423751687,41.83535762483131,42.24021592442645,687,105,84.71615720524017,10.611909650924025,25.32242719155072,22.7378507871321,31.5674195756331,54,7.28744939271255,7.3530606914745995,151.62246820787453,Lagoon,4579,701,7.3925,151.592,10221641,10.221641,447.97112322766964,68.57998632509202,Tolensom,1,Lagoon,7.3530606914745995,151.62246820787453,0,0,22.7378507871321,31.5674195756331,7.28744939271255,21.41368426594839,6.10695857214993,59.25925925925925,40.74074074074075,59.25925925925925,FALSE,40.74074074074075,59.25925925925925,12.689590676117565,85.75818475691997,23.6,15,High,Ready,TRUE
YAP__DALIPEEBINAEW,Yap,YAP,Dalipeebinaew,DALIPEEBINAEW,39,Dalipeebinaew,1,2,5.128205128205128,94.87179487179486,94.87179487179486,37,0,100,18.82135523613963,29.571684304743854,30.0844170659366,35.54871092858775,0,0,9.440496564102565,138.21679738461538,,,,,,,,,,,,,9.440496564102565,138.21679738461538,0,0,30.0844170659366,35.54871092858775,0,25.160392425279507,,,,,TRUE,50,50,12.580196212639754,0,23.6,15,High,Missing Census match,TRUE
CHUUK__MURILO ATOLL,Chuuk,CHUUK,Murilo Atoll,MURILO ATOLL,32,Murilo Atoll,1,18,56.25,43.75,43.75,27,5,81.48148148148148,17.133470225872692,28.221359514031487,23.52669404517455,33.32420716404292,3,9.375,7.87747767821875,151.926948790625,Outer,828,93,,,668612,0.668612,1238.3863885183036,139.09412334807033,Murillo; Piisemwar; Ruo,3,Outer,7.87747767821875,151.926948790625,1,100,23.52669404517455,33.32420716404292,9.375,22.655857859913315,7.12237168815231,92.5925925925926,7.407407407407405,92.5925925925926,FALSE,7.407407407407405,92.5925925925926,20.977646166586407,29.667133341072354,23.5,17,High,Ready,TRUE
CHUUK__WENO,Chuuk,CHUUK,Weno,WENO,1167,Weno,1,512,43.873179091688094,56.12682090831191,56.12682090831191,1033,129,87.51210067763795,12.681724845995893,26.162830958046406,23.171343828428,31.82979694273325,56,4.7986289631533845,7.438416012029013,151.85995074347585,Main,13856,1571,7.44111,151.853,18907684,18.907684,732.8237556752059,83.08791282951418,Weno,1,Main,7.438416012029013,151.85995074347585,0,0,23.171343828428,31.82979694273325,4.7986289631533845,21.22849147823413,6.598268884898406,72.22222222222221,27.777777777777786,72.22222222222221,FALSE,27.777777777777786,72.22222222222221,15.331688289835759,86.5225629070174,23.5,17,High,Ready,TRUE
CHUUK__FEFAN,Chuuk,CHUUK,Fefan,FEFAN,382,Fefan,1,182,47.64397905759162,52.35602094240838,52.617801047120416,339,40,88.20058997050147,10.414784394250514,25.149441022130972,23.52498288843255,30.175678758841,23,6.020942408376963,7.348073338651832,151.84059539397904,,,,,,,,,,,,,7.348073338651832,151.84059539397904,0.5,50,23.52498288843255,30.175678758841,6.020942408376963,21.35431396650312,,,,,TRUE,50,50,10.677156983251558,68.01134693635555,23.4,19,High,Missing Census match,TRUE
CHUUK__UMAN,Chuuk,CHUUK,Uman,UMAN,310,Uman,1,118,38.064516129032256,61.935483870967744,61.935483870967744,279,32,88.5304659498208,9.478439425051334,25.497229030050118,26.570841889117,29.399954369153576,7,2.258064516129032,7.3049383550387095,151.8758826716129,Lagoon,2554,355,7.29861,151.877,3873278,3.873278,659.3897985117516,91.65363291764753,Uman,1,Lagoon,7.3049383550387095,151.8758826716129,0.5,50,26.570841889117,29.399954369153576,2.258064516129032,22.27410891052672,6.492830264488368,64.81481481481481,35.18518518518519,64.81481481481481,FALSE,35.18518518518519,64.81481481481481,14.436922442008058,44.50070001160852,23.3,20,High,Ready,TRUE
